;correct_spelling;misspellings
1;som;['smo'                     , 'osm'         , 'oms'         , 'mso'         , 'mos']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
3;hans;['hasn'                   , 'hnas'        , 'hnsa'        , 'hsan'        , 'hsna'        , 'ahns'        , 'ahsn'        , 'anhs'        , 'ansh'        , 'ashn'        , 'asnh'        , 'nhas'        , 'nhsa'         , 'nahs'   , 'nash' , 'nsha', 'nsah', 'shan', 'shna', 'sahn' , 'sanh', 'snha' , 'snah']
4;at;['ta']                      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
5;han;['hna'                     , 'ahn'         , 'anh'         , 'nha'         , 'nah']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
6;var;['vra'                     , 'avr'         , 'arv'         , 'rva'         , 'rav']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
7;til;['tli'                     , 'itl'         , 'lti'         , 'lit']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
8;på;['åp']                      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
9;er;['re']                      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
10;med;['mde'                    , 'emd'         , 'edm'         , 'dme']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
11;de;['ed']                     ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
12;være;['væer'                  , 'vræe'        , 'vreæ'        , 'veær'        , 'veræ'        , 'ævre'        , 'æver'        , 'ærve'        , 'ærev'        , 'æevr'        , 'æerv'        , 'rvæe'        , 'rveæ'         , 'ræve'   , 'ræev' , 'revæ', 'reæv', 'evær', 'evræ', 'eævr' , 'eærv', 'ervæ' , 'eræv']
13;på;['åp']                     ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
14;en;['ne']                     ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
15;har;['hra'                    , 'ahr'         , 'arh'         , 'rha'         , 'rah']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
16;dette;['ette'                 , 'dtte'        , 'dete'        , 'dete'        , 'dett']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
17;fra;['rfa'                    , 'raf'         , 'afr'         , 'arf']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
18;ved;['vde'                    , 'evd'         , 'edv'         , 'dve'         , 'dev']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
19;hot;['hto'                    , 'oht'         , 'oth'         , 'tho'         , 'toh']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
20;ord;['odr'                    , 'rdo'         , 'dor'         , 'dro']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
21;men;['mne'                    , 'emn'         , 'enm'         , 'nme'         , 'nem']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
22;hvad;['hvda'                  , 'havd'        , 'hadv'        , 'hdva'        , 'hdav'        , 'vhad'        , 'vhda'        , 'vahd'        , 'vadh'        , 'vdha'        , 'vdah'        , 'ahvd'        , 'ahdv'         , 'avhd'   , 'avdh' , 'adhv', 'advh', 'dhva', 'dhav', 'dvha' , 'dvah', 'dahv' , 'davh']
23;nogle;['ogle'                 , 'ngle'        , 'nole'        , 'noge'        , 'nogl']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
24;er;['re']                     ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
25;det;['dte'                    , 'edt'         , 'etd'         , 'tde'         , 'ted']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
26;du;[]                         ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
27;eller;['ller'                 , 'eler'        , 'eler'        , 'ellr'        , 'elle']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
28;havde;['avde'                 , 'hvde'        , 'hade'        , 'havd']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
29;den;['dne'                    , 'edn'         , 'nde']        ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
30;af;['fa']                     ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
31;til;['tli'                    , 'itl'         , 'lti'         , 'lit']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
32;og;[]                         ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
35;vi;['iv']                     ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
36;kan;['kna'                    , 'akn'         , 'ank'         , 'nka'         , 'nak']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
37;ud;[]                         ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
38;andre;['ndre'                 , 'adre'        , 'anre'        , 'ande'        , 'andr']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
39;var;['vra'                    , 'avr'         , 'arv'         , 'rva'         , 'rav']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
40;som;['smo'                    , 'osm'         , 'oms'         , 'mso'         , 'mos']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
41;gøre;['gøer'                  , 'grøe'        , 'greø'        , 'geør'        , 'gerø'        , 'øgre'        , 'øger'        , 'ørge'        , 'øreg'        , 'øegr'        , 'øerg'        , 'rgøe'        , 'rgeø'         , 'røge'   , 'røeg' , 'regø', 'reøg', 'egør', 'egrø', 'eøgr' , 'eørg', 'ergø' , 'erøg']
42;deres;['eres'                 , 'dres'        , 'dees'        , 'ders'        , 'dere']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
43;tid;['tdi'                    , 'itd'         , 'idt'         , 'dti'         , 'dit']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
44;hvis;['hvsi'                  , 'hivs'        , 'hisv'        , 'hsvi'        , 'hsiv'        , 'vhis'        , 'vhsi'        , 'vihs'        , 'vish'        , 'vshi'        , 'vsih'        , 'ihvs'        , 'ihsv'         , 'ivhs'   , 'ivsh' , 'ishv', 'isvh', 'shvi', 'shiv', 'svhi' , 'svih', 'sihv' , 'sivh']
45;vil;['vli'                    , 'ivl'         , 'ilv'         , 'lvi']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
46;hvordan;['vordan'             , 'hordan'      , 'hvrdan'      , 'hvodan'      , 'hvoran'      , 'hvordn'      , 'hvorda']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
47;sagde;['agde'                 , 'sgde'        , 'sade'        , 'sage'        , 'sagd']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
48;en;['ne']                     ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
49;hver;['hvre'                  , 'hevr'        , 'herv'        , 'hrve'        , 'hrev'        , 'vher'        , 'vhre'        , 'vehr'        , 'verh'        , 'vrhe'        , 'vreh'        , 'ehvr'        , 'ehrv'         , 'evhr'   , 'evrh' , 'erhv', 'ervh', 'rhve', 'rhev', 'rvhe' , 'rveh', 'rehv' , 'revh']
50;fortælle;['ortælle'           , 'frtælle'     , 'fotælle'     , 'forælle'     , 'fortlle'     , 'fortæle'     , 'fortæle'     , 'fortæll']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
51;gør;['grø'                    , 'øgr'         , 'ørg'         , 'rgø'         , 'røg']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
52;sæt;['stæ'                    , 'æst'         , 'æts'         , 'tsæ'         , 'tæs']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
53;tre;['ter'                    , 'rte'         , 'ret'         , 'etr'         , 'ert']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
54;ønsker;['nsker'               , 'øsker'       , 'ønker'       , 'ønser'       , 'ønskr']      ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
55;luft;['lutf'                  , 'lfut'        , 'lftu'        , 'ltuf'        , 'ltfu'        , 'ulft'        , 'ultf'        , 'uflt'        , 'uftl'        , 'utlf'        , 'utfl'        , 'flut'        , 'fltu'         , 'fult'   , 'futl' , 'ftlu', 'ftul', 'tluf', 'tlfu', 'tulf' , 'tufl', 'tflu' , 'tful']
56;godt;['gotd'                  , 'gdot'        , 'gdto'        , 'gtod'        , 'gtdo'        , 'ogdt'        , 'ogtd'        , 'odgt'        , 'odtg'        , 'otgd'        , 'otdg'        , 'dgot'        , 'dgto'         , 'dogt'   , 'dotg' , 'dtgo', 'dtog', 'tgod', 'tgdo', 'togd' , 'todg', 'tdgo' , 'tdog']
57;også;['ogås'                  , 'osgå'        , 'osåg'        , 'oågs'        , 'oåsg'        , 'goså'        , 'goås'        , 'gsoå'        , 'gsåo'        , 'gåos'        , 'gåso'        , 'sogå'        , 'soåg'         , 'sgoå'   , 'sgåo' , 'såog', 'sågo', 'åogs', 'åosg', 'ågos' , 'ågso', 'åsog' , 'åsgo']
58;spille;['pille'               , 'sille'       , 'splle'       , 'spile'       , 'spile'       , 'spill']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
59;lille;['ille'                 , 'llle'        , 'lile'        , 'lile'        , 'lill']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
60;ende;['ened'                  , 'edne'        , 'eden'        , 'eend'        , 'eedn'        , 'nede'        , 'ndee'        , 'ndee'        , 'nede'        , 'dene'        , 'deen'        , 'dnee'        , 'dnee'         , 'deen'   , 'dene' , 'eend', 'eedn', 'ened', 'eden', 'edne'],       ,        , 
61;sætte;['ætte'                 , 'stte'        , 'sæte'        , 'sæte'        , 'sætt']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
62;hjem;['hjme'                  , 'hejm'        , 'hemj'        , 'hmje'        , 'hmej'        , 'jhem'        , 'jhme'        , 'jehm'        , 'jemh'        , 'jmhe'        , 'jmeh'        , 'ehjm'        , 'ehmj'         , 'ejhm'   , 'ejmh' , 'emhj', 'emjh', 'mhje', 'mhej', 'mjhe' , 'mjeh', 'mehj' , 'mejh']
63;læse;['læes'                  , 'lsæe'        , 'lseæ'        , 'leæs'        , 'lesæ'        , 'ælse'        , 'æles'        , 'æsle'        , 'æsel'        , 'æels'        , 'æesl'        , 'slæe'        , 'sleæ'         , 'sæle'   , 'sæel' , 'selæ', 'seæl', 'elæs', 'elsæ', 'eæls' , 'eæsl', 'eslæ' , 'esæl']
64;hånd;['hådn'                  , 'hnåd'        , 'hndå'        , 'hdån'        , 'hdnå'        , 'åhnd'        , 'åhdn'        , 'ånhd'        , 'åndh'        , 'ådhn'        , 'ådnh'        , 'nhåd'        , 'nhdå'         , 'nåhd'   , 'nådh' , 'ndhå', 'ndåh', 'dhån', 'dhnå', 'dåhn' , 'dånh', 'dnhå' , 'dnåh']
65;havn;['hanv'                  , 'hvan'        , 'hvna'        , 'hnav'        , 'hnva'        , 'ahvn'        , 'ahnv'        , 'avhn'        , 'avnh'        , 'anhv'        , 'anvh'        , 'vhan'        , 'vhna'         , 'vahn'   , 'vanh' , 'vnha', 'vnah', 'nhav', 'nhva', 'nahv' , 'navh', 'nvha' , 'nvah']
66;stor;['stro'                  , 'sotr'        , 'srto'        , 'srot'        , 'tsor'        , 'tsro'        , 'tosr'        , 'tors'        , 'trso'        , 'tros'        , 'ostr'        , 'osrt'        , 'otsr'         , 'otrs'   , 'orst' , 'orts', 'rsto', 'rsot', 'rtso', 'rtos' , 'rost', 'rots'], 
67;stave;['tave'                 , 'stve'        , 'stae'        , 'stav']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
68;tilføje;['ilføje'             , 'tlføje'      , 'tiføje'      , 'tiløje'      , 'tilfje'      , 'tilføe'      , 'tilføj']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
69;selv;['sevl'                  , 'slev'        , 'slve'        , 'svel'        , 'svle'        , 'eslv'        , 'esvl'        , 'elsv'        , 'elvs'        , 'evsl'        , 'evls'        , 'lsev'        , 'lsve'         , 'lesv'   , 'levs' , 'lvse', 'lves', 'vsel', 'vsle', 'vesl' , 'vels', 'vlse' , 'vles']
70;jord;['jodr'                  , 'jrod'        , 'jrdo'        , 'jdor'        , 'jdro'        , 'ojrd'        , 'ojdr'        , 'orjd'        , 'ordj'        , 'odjr'        , 'odrj'        , 'rjod'        , 'rjdo'         , 'rojd'   , 'rodj' , 'rdjo', 'rdoj', 'djor', 'djro', 'dojr' , 'dorj', 'drjo' , 'droj']
71;her;['hre'                    , 'ehr'         , 'erh'         , 'rhe'         , 'reh']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
72;skal;['skla'                  , 'sakl'        , 'salk'        , 'slka'        , 'slak'        , 'ksal'        , 'ksla'        , 'kasl'        , 'kals'        , 'klsa'        , 'klas'        , 'askl'        , 'aslk'         , 'aksl'   , 'akls' , 'alsk', 'alks', 'lska', 'lsak', 'lksa' , 'lkas', 'lask' , 'laks']
73;stor;['stro'                  , 'sotr'        , 'srto'        , 'srot'        , 'tsor'        , 'tsro'        , 'tosr'        , 'tors'        , 'trso'        , 'tros'        , 'ostr'        , 'osrt'        , 'otsr'         , 'otrs'   , 'orst' , 'orts', 'rsto', 'rsot', 'rtso', 'rtos' , 'rost', 'rots'], 
74;høj;['hjø'                    , 'øhj'         , 'øjh'         , 'jhø'         , 'jøh']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
75;sådan;['ådan'                 , 'sdan'        , 'såan'        , 'sådn'        , 'såda']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
76;følg;['føgl'                  , 'fløg'        , 'flgø'        , 'fgøl'        , 'fglø'        , 'øflg'        , 'øfgl'        , 'ølfg'        , 'ølgf'        , 'øgfl'        , 'øglf'        , 'lføg'        , 'lfgø'         , 'løfg'   , 'løgf' , 'lgfø', 'lgøf', 'gføl', 'gflø', 'gøfl' , 'gølf', 'glfø' , 'gløf']
77;handling;['andling'           , 'hndling'     , 'hadling'     , 'hanling'     , 'handing'     , 'handlng'     , 'handlig'     , 'handlin']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
78;hvorfor;['vorfor'             , 'horfor'      , 'hvrfor'      , 'hvofor'      , 'hvoror'      , 'hvorfr'      , 'hvorfo']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
79;spørge;['pørge'               , 'sørge'       , 'sprge'       , 'spøge'       , 'spøre'       , 'spørg']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
80;mænd;['mædn'                  , 'mnæd'        , 'mndæ'        , 'mdæn'        , 'mdnæ'        , 'æmnd'        , 'æmdn'        , 'ænmd'        , 'ændm'        , 'ædmn'        , 'ædnm'        , 'nmæd'        , 'nmdæ'         , 'næmd'   , 'nædm' , 'ndmæ', 'ndæm', 'dmæn', 'dmnæ', 'dæmn' , 'dænm', 'dnmæ' , 'dnæm']
81;ændring;['ndring'             , 'ædring'      , 'ænring'      , 'ænding'      , 'ændrng'      , 'ændrig'      , 'ændrin']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
82;gik;['gki'                    , 'igk'         , 'ikg'         , 'kgi'         , 'kig']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
83;lys;['lsy'                    , 'yls'         , 'ysl'         , 'sly'         , 'syl']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
84;slags;['lags'                 , 'sags'        , 'slgs'        , 'slas']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
85;off;['fof'                    , 'ffo'         , 'fof'         , 'ffo']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
86;brug;['brgu'                  , 'burg'        , 'bugr'        , 'bgru'        , 'bgur'        , 'rbug'        , 'rbgu'        , 'rubg'        , 'rugb'        , 'rgbu'        , 'rgub'        , 'ubrg'        , 'ubgr'         , 'urbg'   , 'urgb' , 'ugbr', 'ugrb', 'gbru', 'gbur', 'grbu' , 'grub', 'gubr' , 'gurb']
87;hus;['hsu'                    , 'uhs'         , 'ush'         , 'shu'         , 'suh']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
88;billede;['illede'             , 'bllede'      , 'bilede'      , 'bilede'      , 'billde'      , 'billee'      , 'billed']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
89;prøv;['prvø'                  , 'pørv'        , 'pøvr'        , 'pvrø'        , 'pvør'        , 'rpøv'        , 'rpvø'        , 'røpv'        , 'røvp'        , 'rvpø'        , 'rvøp'        , 'øprv'        , 'øpvr'         , 'ørpv'   , 'ørvp' , 'øvpr', 'øvrp', 'vprø', 'vpør', 'vrpø' , 'vrøp', 'vøpr' , 'vørp']
90;os;[]                         ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
91;igen;['igne'                  , 'iegn'        , 'ieng'        , 'inge'        , 'ineg'        , 'gien'        , 'gine'        , 'gein'        , 'geni'        , 'gnie'        , 'gnei'        , 'eign'        , 'eing'         , 'egin'   , 'egni' , 'enig', 'engi', 'nige', 'nieg', 'ngie' , 'ngei', 'neig' , 'negi']
92;dyr;['ydr'                    , 'yrd'         , 'rdy'         , 'ryd']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
93;punkt;['unkt'                 , 'pnkt'        , 'pukt'        , 'punt'        , 'punk']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
94;mor;['mro'                    , 'omr'         , 'orm'         , 'rmo'         , 'rom']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
95;verden;['erden'               , 'vrden'       , 'veden'       , 'veren'       , 'verdn'       , 'verde']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
96;nær;['nræ'                    , 'ænr'         , 'ærn'         , 'rnæ'         , 'ræn']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
97;bygge;['ygge'                 , 'bgge'        , 'byge'        , 'byge'        , 'bygg']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
