trigger;replace;language
htis;this;english
eachother;each other;english
Thnak;thank;english
undersootd;understood;english
any thing;anything;english
Chiciago;Chicago;english
aswell;as well;english
raport;rapport;danish
hra;har;danish
ahold;a hold;english
amonut;amount;english
arent;aren't;english
bteween;between;english
abandonned;abandoned;english
aberation;aberration;english
abilityes;abilities;english
abilties;abilities;english
abilty;ability;english
abondon;abandon;english
abbout;about;english
abotu;about;english
abouta;about a;english
aboutit;about it;english
aboutthe;about the;english
abscence;absence;english
abondoned;abandoned;english
abondoning;abandoning;english
abondons;abandons;english
aborigene;aborigine;english
accesories;accessories;english
accidant;accident;english
abortificant;abortifacient;english
abreviate;abbreviate;english
abreviated;abbreviated;english
abreviation;abbreviation;english
abritrary;arbitrary;english
absail;abseil;english
absailing;abseiling;english
absense;absence;english
absolutly;absolutely;english
absorbsion;absorption;english
absorbtion;absorption;english
abudance;abundance;english
abundacies;abundances;english
abundancies;abundances;english
abundunt;abundant;english
abutts;abuts;english
acadamy;academy;english
acadmic;academic;english
accademic;academic;english
accademy;academy;english
acccused;accused;english
accelleration;acceleration;english
acceptence;acceptance;english
acceptible;acceptable;english
accessable;accessible;english
acident;accident;english
accidentaly;accidentally;english
accidently;accidentally;english
acclimitization;acclimatization;english
accomadate;accommodate;english
accomadated;accommodated;english
accomadates;accommodates;english
accomadating;accommodating;english
accomadation;accommodation;english
accomadations;accommodations;english
accomdate;accommodate;english
accomodate;accommodate;english
accomodated;accommodated;english
accomodates;accommodates;english
accomodating;accommodating;english
accomodation;accommodation;english
accomodations;accommodations;english
accompanyed;accompanied;english
accordeon;accordion;english
accordian;accordion;english
accoring;according;english
accoustic;acoustic;english
accquainted;acquainted;english
accrediation;accreditation;english
accredidation;accreditation;english
accross;across;english
accussed;accused;english
acedemic;academic;english
acheive;achieve;english
acheived;achieved;english
acheivement;achievement;english
acheivements;achievements;english
acheives;achieves;english
acheiving;achieving;english
acheivment;achievement;english
acheivments;achievements;english
achievment;achievement;english
achievments;achievements;english
achivement;achievement;english
achivements;achievements;english
acknowldeged;acknowledged;english
acknowledgeing;acknowledging;english
acommodate;accommodate;english
acomplish;accomplish;english
acomplished;accomplished;english
acomplishment;accomplishment;english
acomplishments;accomplishments;english
acording;according;english
acordingly;accordingly;english
acquaintence;acquaintance;english
acquaintences;acquaintances;english
acquiantence;acquaintance;english
acquiantences;acquaintances;english
acquited;acquitted;english
activites;activities;english
activly;actively;english
actualy;actually;english
acuracy;accuracy;english
acused;accused;english
acustom;accustom;english
acustommed;accustomed;english
adavanced;advanced;english
adbandon;abandon;english
addional;additional;english
addionally;additionally;english
additinally;additionally;english
additionaly;additionally;english
additonal;additional;english
additonally;additionally;english
addmission;admission;english
addopt;adopt;english
addopted;adopted;english
addoptive;adoptive;english
addresable;addressable;english
addresed;addressed;english
addresing;addressing;english
addressess;addresses;english
addtion;addition;english
addtional;additional;english
adecuate;adequate;english
adequit;adequate;english
adhearing;adhering;english
adherance;adherence;english
admendment;amendment;english
admininistrative;administrative;english
adminstered;administered;english
adminstrate;administrate;english
adminstration;administration;english
adminstrative;administrative;english
adminstrator;administrator;english
admissability;admissibility;english
admissable;admissible;english
admited;admitted;english
admitedly;admittedly;english
adn;and;english
adolecent;adolescent;english
adquire;acquire;english
adquired;acquired;english
adquires;acquires;english
adquiring;acquiring;english
adres;address;english
adresable;addressable;english
adresing;addressing;english
adress;address;english
adressable;addressable;english
adressed;addressed;english
adventrous;adventurous;english
advertisment;advertisement;english
advertisments;advertisements;english
advesary;adversary;english
adviced;advised;english
aeriel;aerial;english
aeriels;aerials;english
afair;affair;english
afficianados;aficionados;english
afficionado;aficionado;english
afficionados;aficionados;english
affilate;affiliate;english
affilliate;affiliate;english
aforememtioned;aforementioned;english
againnst;against;english
agains;against;english
agaisnt;against;english
aganist;against;english
aggaravates;aggravates;english
aggreed;agreed;english
aggreement;agreement;english
aggregious;egregious;english
aggresive;aggressive;english
agian;again;english
agianst;against;english
agin;again;english
aginst;against;english
agravate;aggravate;english
agre;agree;english
agred;agreed;english
agreeement;agreement;english
agreemnt;agreement;english
agregate;aggregate;english
agregates;aggregates;english
agreing;agreeing;english
agression;aggression;english
agressive;aggressive;english
agressively;aggressively;english
agressor;aggressor;english
agricultue;agriculture;english
agriculure;agriculture;english
agricuture;agriculture;english
agrieved;aggrieved;english
ahev;have;english
ahppen;happen;english
ahve;have;english
aicraft;aircraft;english
aiport;airport;english
airbourne;airborne;english
aircaft;aircraft;english
aircrafts;aircraft;english
airporta;airports;english
airrcraft;aircraft;english
aisian;asian;english
albiet;albeit;english
alchohol;alcohol;english
alchoholic;alcoholic;english
alchol;alcohol;english
alcholic;alcoholic;english
alcohal;alcohol;english
alcoholical;alcoholic;english
aledge;allege;english
aledged;alleged;english
aledges;alleges;english
alege;allege;english
aleged;alleged;english
alegience;allegiance;english
algebraical;algebraic;english
algorhitms;algorithms;english
algoritm;algorithm;english
algoritms;algorithms;english
alientating;alienating;english
alledge;allege;english
alledged;alleged;english
alledgedly;allegedly;english
alledges;alleges;english
allegedely;allegedly;english
allegedy;allegedly;english
allegely;allegedly;english
allegence;allegiance;english
allegience;allegiance;english
allign;align;english
alligned;aligned;english
alliviate;alleviate;english
allopone;allophone;english
allopones;allophones;english
allready;already;english
allthough;although;english
alltime;all-time;english
alltogether;altogether;english
almsot;almost;english
alochol;alcohol;english
alomst;almost;english
::alot::a lot
alotted;allotted;english
alowed;allowed;english
alowing;allowing;english
alreayd;already;english
alse;else;english
alsot;also;english
alternitives;alternatives;english
altho;although;english
althought;although;english
altough;although;english
alwasy;always;english
alwyas;always;english
amalgomated;amalgamated;english
amatuer;amateur;english
amendmant;amendment;english
Amercia;America;english
amerliorate;ameliorate;english
amke;make;english
amking;making;english
ammend;amend;english
ammended;amended;english
ammendment;amendment;english
ammendments;amendments;english
ammount;amount;english
ammused;amused;english
amoung;among;english
amoungst;amongst;english
amung;among;english
amunition;ammunition;english
analagous;analogous;english
analitic;analytic;english
analogeous;analogous;english
anarchim;anarchism;english
anarchistm;anarchism;english
anbd;and;english
ancestory;ancestry;english
ancilliary;ancillary;english
andd;and;english
androgenous;androgynous;english
androgeny;androgyny;english
anihilation;annihilation;english
aniversary;anniversary;english
annoint;anoint;english
annointed;anointed;english
annointing;anointing;english
annoints;anoints;english
annouced;announced;english
annualy;annually;english
annuled;annulled;english
anohter;another;english
anomolies;anomalies;english
anomolous;anomalous;english
anomoly;anomaly;english
anonimity;anonymity;english
anounced;announced;english
anouncement;announcement;english
ansalisation;nasalisation;english
ansalization;nasalization;english
ansestors;ancestors;english
antartic;antarctic;english
anthromorphization;anthropomorphization;english
anthropolgist;anthropologist;english
anthropolgy;anthropology;english
antiapartheid;anti-apartheid;english
anual;annual;english
anulled;annulled;english
anwsered;answered;english
anyhwere;anywhere;english
anyother;any other;english
anytying;anything;english
aparent;apparent;english
aparment;apartment;english
aplication;application;english
aplied;applied;english
apolegetics;apologetics;english
apparant;apparent;english
apparantly;apparently;english
appart;apart;english
appartment;apartment;english
appartments;apartments;english
appeareance;appearance;english
appearence;appearance;english
appearences;appearances;english
apperance;appearance;english
apperances;appearances;english
appereance;appearance;english
appereances;appearances;english
applicaiton;application;english
applicaitons;applications;english
appologies;apologies;english
appology;apology;english
apprearance;appearance;english
apprieciate;appreciate;english
approachs;approaches;english
appropiate;appropriate;english
appropraite;appropriate;english
appropropiate;appropriate;english
approproximate;approximate;english
approxamately;approximately;english
approxiately;approximately;english
approximitely;approximately;english
aprehensive;apprehensive;english
apropriate;appropriate;english
aproval;approval;english
aproximate;approximate;english
aproximately;approximately;english
aquaduct;aqueduct;english
aquaintance;acquaintance;english
aquainted;acquainted;english
aquiantance;acquaintance;english
aquire;acquire;english
aquired;acquired;english
aquiring;acquiring;english
aquisition;acquisition;english
aquitted;acquitted;english
aranged;arranged;english
arangement;arrangement;english
arbitarily;arbitrarily;english
arbitary;arbitrary;english
archaelogical;archaeological;english
archaelogists;archaeologists;english
archaelogy;archaeology;english
archetect;architect;english
archetects;architects;english
archetectural;architectural;english
archetecturally;architecturally;english
archetecture;architecture;english
archiac;archaic;english
archictect;architect;english
archimedian;archimedean;english
architecht;architect;english
architechturally;architecturally;english
architechture;architecture;english
architechtures;architectures;english
architectual;architectural;english
archtype;archetype;english
archtypes;archetypes;english
aready;already;english
areodynamics;aerodynamics;english
argubly;arguably;english
arguement;argument;english
arguements;arguments;english
arised;arose;english
arival;arrival;english
armamant;armament;english
armistace;armistice;english
arogant;arrogant;english
arogent;arrogant;english
aroud;around;english
arrangment;arrangement;english
arrangments;arrangements;english
arrengement;arrangement;english
arrengements;arrangements;english
arround;around;english
artcile;article;english
artical;article;english
artice;article;english
articel;article;english
artifical;artificial;english
artifically;artificially;english
artillary;artillery;english
arund;around;english
asetic;ascetic;english
asfar;as far;english
asign;assign;english
aslo;also;english
asociated;associated;english
asorbed;absorbed;english
asphyxation;asphyxiation;english
assasin;assassin;english
assasinate;assassinate;english
assasinated;assassinated;english
assasinates;assassinates;english
assasination;assassination;english
assasinations;assassinations;english
assasined;assassinated;english
assasins;assassins;english
assassintation;assassination;english
assemple;assemble;english
assertation;assertion;english
asside;aside;english
assisnate;assassinate;english
assit;assist;english
assitant;assistant;english
assocation;association;english
assoicate;associate;english
assoicated;associated;english
assoicates;associates;english
assosication;assassination;english
asssassans;assassins;english
assualt;assault;english
assualted;assaulted;english
assymetric;asymmetric;english
assymetrical;asymmetrical;english
asteriod;asteroid;english
asthetic;aesthetic;english
asthetical;aesthetical;english
asthetically;aesthetically;english
asume;assume;english
aswell;as well;english
atain;attain;english
atempting;attempting;english
atheistical;atheistic;english
athenean;athenian;english
atheneans;athenians;english
athiesm;atheism;english
athiest;atheist;english
atorney;attorney;english
atribute;attribute;english
atributed;attributed;english
atributes;attributes;english
attemp;attempt;english
attemped;attempted;english
attemt;attempt;english
attemted;attempted;english
attemting;attempting;english
attemts;attempts;english
attendence;attendance;english
attendent;attendant;english
attendents;attendants;english
attened;attended;english
attension;attention;english
attitide;attitude;english
attributred;attributed;english
attrocities;atrocities;english
audeince;audience;english
auromated;automated;english
austrailia;Australia;english
austrailian;Australian;english
auther;author;english
authobiographic;autobiographic;english
authobiography;autobiography;english
authorative;authoritative;english
authorites;authorities;english
authorithy;authority;english
authoritiers;authorities;english
authoritive;authoritative;english
authrorities;authorities;english
autochtonous;autochthonous;english
autoctonous;autochthonous;english
automaticly;automatically;english
automibile;automobile;english
automonomous;autonomous;english
autor;author;english
autority;authority;english
auxilary;auxiliary;english
auxillaries;auxiliaries;english
auxillary;auxiliary;english
auxilliaries;auxiliaries;english
auxilliary;auxiliary;english
availabe;available;english
availablity;availability;english
availaible;available;english
availble;available;english
availiable;available;english
availible;available;english
avalable;available;english
avalance;avalanche;english
avaliable;available;english
avation;aviation;english
avengence;a vengeance;english
averageed;averaged;english
avilable;available;english
awared;awarded;english
awya;away;english
baceause;because;english
backgorund;background;english
backrounds;backgrounds;english
bakc;back;english
banannas;bananas;english
bandwith;bandwidth;english
bankrupcy;bankruptcy;english
banruptcy;bankruptcy;english
basicaly;basically;english
basicly;basically;english
bcak;back;english
beachead;beachhead;english
beacuse;because;english
beastiality;bestiality;english
beatiful;beautiful;english
beaurocracy;bureaucracy;english
beaurocratic;bureaucratic;english
beautyfull;beautiful;english
becamae;became;english
becasue;because;english
beccause;because;english
becomeing;becoming;english
becomming;becoming;english
becouse;because;english
becuase;because;english
bedore;before;english
beeing;being;english
befoer;before;english
begginer;beginner;english
begginers;beginners;english
beggining;beginning;english
begginings;beginnings;english
beggins;begins;english
begining;beginning;english
beginnig;beginning;english
beleagured;beleaguered;english
beleif;belief;english
beleive;believe;english
beleived;believed;english
beleives;believes;english
beleiving;believing;english
beligum;belgium;english
belive;believe;english
belligerant;belligerent;english
bellweather;bellwether;english
bemusemnt;bemusement;english
beneficary;beneficiary;english
beng;being;english
benificial;beneficial;english
benifit;benefit;english
benifits;benefits;english
bergamont;bergamot;english
Bernouilli;Bernoulli;english
beseige;besiege;english
beseiged;besieged;english
beseiging;besieging;english
beteen;between;english
betwen;between;english
beween;between;english
bewteen;between;english
bigining;beginning;english
biginning;beginning;english
bilateraly;bilaterally;english
billingualism;bilingualism;english
binominal;binomial;english
bizzare;bizarre;english
blaim;blame;english
blaimed;blamed;english
blessure;blessing;english
Blitzkreig;Blitzkrieg;english
bodydbuilder;bodybuilder;english
bombardement;bombardment;english
bombarment;bombardment;english
bondary;boundary;english
Bonnano;Bonanno;english
boook;book;english
borke;broke;english
boundry;boundary;english
bouyancy;buoyancy;english
bouyant;buoyant;english
boyant;buoyant;english
bradcast;broadcast;english
Brasillian;Brazilian;english
breakthough;breakthrough;english
breakthroughts;breakthroughs;english
breif;brief;english
breifly;briefly;english
brethen;brethren;english
bretheren;brethren;english
briliant;brilliant;english
brillant;brilliant;english
brimestone;brimstone;english
Britian;Britain;english
Brittish;British;english
broacasted;broadcast;english
broadacasting;broadcasting;english
broady;broadly;english
Buddah;Buddha;english
Buddist;Buddhist;english
buisness;business;english
buisnessman;businessman;english
buoancy;buoyancy;english
burried;buried;english
busines;business;english
busness;business;english
bussiness;business;english
caculater;calculator;english
cacuses;caucuses;english
cahracters;characters;english
calaber;caliber;english
calculater;calculator;english
calculs;calculus;english
calenders;calendars;english
caligraphy;calligraphy;english
caluclate;calculate;english
caluclated;calculated;english
caluculate;calculate;english
caluculated;calculated;english
calulate;calculate;english
calulated;calculated;english
calulater;calculator;english
Cambrige;Cambridge;english
camoflage;camouflage;english
campagin;campaign;english
campain;campaign;english
campains;campaigns;english
candadate;candidate;english
candiate;candidate;english
candidiate;candidate;english
cannister;canister;english
cannisters;canisters;english
cannnot;cannot;english
cannonical;canonical;english
cannotation;connotation;english
cannotations;connotations;english
caost;coast;english
caperbility;capability;english
Capetown;Cape Town;english
capible;capable;english
captial;capital;english
captued;captured;english
capturd;captured;english
carachter;character;english
caracterized;characterized;english
carefull;careful;english
careing;caring;english
carismatic;charismatic;english
Carmalite;Carmelite;english
Carnagie;Carnegie;english
::Carnagie-Mellon::Carnegie-Mellon
Carnigie;Carnegie;english
::Carnigie-Mellon::Carnegie-Mellon
carreer;career;english
carrers;careers;english
Carribbean;Caribbean;english
Carribean;Caribbean;english
carryng;carrying;english
cartdridge;cartridge;english
Carthagian;Carthaginian;english
carthographer;cartographer;english
